sim_time,mean_speed
5.0,
10.0,
15.0,
20.0,
25.0,
30.0,
35.0,
40.0,
45.0,
50.0,
55.0,
60.0,
65.0,
70.0,
75.0,
80.0,4.892601110506803
85.0,8.105300471838563
90.0,11.567775120306765
95.0,8.616114045478094
100.0,12.10007086559364
105.0,13.42816972984001
110.0,
115.0,13.907997315376996
120.0,10.578985750395807
125.0,13.919702270068235
130.0,16.696525338012734
135.0,20.09693164350466
140.0,21.844445490911603
145.0,22.14332903984934
150.0,21.997977442089468
155.0,21.91865127149969
160.0,20.23011012471173
165.0,16.551015721825213
170.0,17.596835564492903
175.0,11.464679632760971
180.0,13.71906696810387
185.0,11.605858952123674
190.0,9.224425050292467
195.0,12.671932568982164
200.0,9.171797062969105
205.0,0.0
210.0,8.121902553349424
215.0,8.95732067185519
220.0,7.753563107960892
225.0,10.816479348911606
230.0,12.078406904777868
235.0,10.306785789540918
240.0,11.752635882263782
245.0,11.80791148570726
250.0,10.122290392124844
255.0,9.717248791710805
260.0,11.903962433266788
265.0,15.466401957487697
270.0,18.88898317692803
275.0,12.58082370894816
280.0,12.121893388177117
285.0,16.232833636518468
290.0,14.670240196387835
295.0,16.51233828306308
300.0,21.638377307217283
305.0,16.55683737509483
310.0,13.49197175047226
315.0,15.768553499326632
320.0,19.57808799444388
325.0,20.985094236849502
330.0,17.948216643783237
335.0,11.142604505687657
340.0,9.612221989178613
345.0,9.413485429729269
350.0,10.531555874678347
355.0,10.356417331969675
360.0,8.77766758053495
365.0,9.232754039045792
370.0,9.478560229926956
375.0,8.51201377518848
380.0,11.969334783762699
385.0,13.549882292719566
390.0,11.275815266597968
395.0,9.218639640843204
400.0,10.990222504301961
405.0,10.050850262652107
410.0,15.57568779202997
415.0,12.758106375781532
420.0,11.412119358187816
425.0,15.36487640704515
430.0,13.156554378302005
435.0,14.397101070301451
440.0,10.190469398549286
445.0,13.180029184583882
450.0,10.92764895869797
455.0,11.919794980942191
460.0,13.052216415569417
465.0,9.916317830180537
470.0,10.423025318070463
475.0,10.46801153919299
480.0,11.086296537605767
485.0,12.771881541094245
490.0,10.93812621334776
495.0,11.769400770694418
500.0,10.197480440812026
505.0,9.494460425897968
510.0,13.273316508050973
515.0,10.321886320670377
520.0,11.164701960249701
525.0,10.931082247162061
530.0,18.471649455290862
535.0,13.425987916855197
540.0,8.032241961848792
545.0,16.085207878756098
550.0,13.367864883766206
555.0,16.042249071114394
560.0,18.178984043590184
565.0,21.815706222022424
570.0,21.07151264515443
575.0,19.503461249094478
580.0,15.08610252021533
585.0,16.610856045048987
590.0,12.414560511479808
595.0,15.34955754923821
600.0,10.798502671203815
605.0,10.770376000776853
