sim_time,sys_total_wait_time
5.0,0.0
10.0,0.0
15.0,0.0
20.0,0.0
25.0,3.0
30.0,13.0
35.0,16.0
40.0,12.0
45.0,20.0
50.0,33.0
55.0,40.0
60.0,53.0
65.0,74.0
70.0,105.0
75.0,104.0
80.0,136.0
85.0,181.0
90.0,226.0
95.0,307.0
100.0,394.0
105.0,385.0
110.0,368.0
115.0,384.0
120.0,442.0
125.0,498.0
130.0,510.0
135.0,491.0
140.0,577.0
145.0,699.0
150.0,844.0
155.0,928.0
160.0,1036.0
165.0,1137.0
170.0,1239.0
175.0,1212.0
180.0,1352.0
185.0,1335.0
190.0,1278.0
195.0,1409.0
200.0,1518.0
205.0,1229.0
210.0,1312.0
215.0,1470.0
220.0,1167.0
225.0,1169.0
230.0,981.0
235.0,1138.0
240.0,1333.0
245.0,1396.0
250.0,1294.0
255.0,1462.0
260.0,1573.0
265.0,1752.0
270.0,1832.0
275.0,1517.0
280.0,1719.0
285.0,2023.0
290.0,2028.0
295.0,2206.0
300.0,2460.0
305.0,2559.0
310.0,2832.0
315.0,3222.0
320.0,2765.0
325.0,2939.0
330.0,2851.0
335.0,3040.0
340.0,3007.0
345.0,3304.0
350.0,3600.0
355.0,3711.0
360.0,4224.0
365.0,4543.0
370.0,4669.0
375.0,4566.0
380.0,4695.0
385.0,4839.0
390.0,4416.0
395.0,4692.0
400.0,4797.0
405.0,4796.0
410.0,4811.0
415.0,4960.0
420.0,4959.0
425.0,5416.0
430.0,4972.0
435.0,4355.0
440.0,4703.0
445.0,4787.0
450.0,4707.0
455.0,4886.0
460.0,5099.0
465.0,5493.0
470.0,5304.0
475.0,5539.0
480.0,4846.0
485.0,5124.0
490.0,5497.0
495.0,5893.0
500.0,6368.0
505.0,6290.0
510.0,6428.0
515.0,6064.0
520.0,5782.0
525.0,5912.0
530.0,5687.0
535.0,5615.0
540.0,5733.0
545.0,6215.0
550.0,5741.0
555.0,6244.0
560.0,6676.0
565.0,7265.0
570.0,7848.0
575.0,7636.0
580.0,7972.0
585.0,8680.0
590.0,9211.0
595.0,9655.0
600.0,9855.0
605.0,10599.0
610.0,9597.0
615.0,9156.0
620.0,9547.0
625.0,9538.0
630.0,9332.0
635.0,9765.0
640.0,10419.0
645.0,10638.0
650.0,11025.0
655.0,9496.0
660.0,9663.0
665.0,9755.0
670.0,9420.0
675.0,9479.0
680.0,9616.0
685.0,9943.0
690.0,10018.0
695.0,9682.0
700.0,10187.0
705.0,9751.0
710.0,9672.0
715.0,10317.0
720.0,10321.0
725.0,10713.0
730.0,11149.0
735.0,11588.0
740.0,12075.0
745.0,12803.0
750.0,12643.0
755.0,13553.0
760.0,13550.0
765.0,13884.0
770.0,13407.0
775.0,13393.0
780.0,13258.0
785.0,14096.0
790.0,14407.0
795.0,13611.0
800.0,14035.0
805.0,14556.0
810.0,14764.0
815.0,14013.0
820.0,14278.0
825.0,13850.0
830.0,14496.0
835.0,15139.0
840.0,15302.0
845.0,15618.0
850.0,15729.0
855.0,15214.0
860.0,15533.0
865.0,16430.0
870.0,16781.0
875.0,17116.0
880.0,17092.0
885.0,17590.0
890.0,18494.0
895.0,19526.0
900.0,20108.0
905.0,20386.0
910.0,20044.0
915.0,20651.0
920.0,17535.0
925.0,16135.0
930.0,15693.0
935.0,15739.0
940.0,16474.0
945.0,15944.0
950.0,15868.0
955.0,15583.0
960.0,16253.0
965.0,16938.0
970.0,17393.0
975.0,17504.0
980.0,17908.0
985.0,18750.0
990.0,19142.0
995.0,19567.0
1000.0,20325.0
1005.0,19644.0
1010.0,19840.0
1015.0,19951.0
1020.0,20170.0
1025.0,20424.0
1030.0,20894.0
1035.0,20921.0
1040.0,21192.0
1045.0,21673.0
1050.0,21964.0
1055.0,22723.0
1060.0,21126.0
1065.0,21047.0
1070.0,21743.0
1075.0,22305.0
1080.0,22843.0
1085.0,23813.0
1090.0,24475.0
1095.0,24818.0
1100.0,23260.0
1105.0,23889.0
1110.0,24888.0
1115.0,25308.0
1120.0,25861.0
1125.0,26813.0
1130.0,27033.0
1135.0,27157.0
1140.0,27196.0
