sim_time,sys_ave_speed
0.0,0.0
5.0,2.214209626894444
10.0,5.230654008748138
15.0,9.69074507267049
20.0,11.254465716447042
25.0,13.513848314416158
30.0,13.366183135330092
35.0,7.997715302307135
40.0,7.597606147608046
45.0,8.913189813403237
50.0,9.090512928771409
55.0,9.09902999573766
60.0,9.198733450195254
65.0,10.519334328177935
70.0,10.579925719021638
75.0,10.98406997094221
80.0,9.366326758804531
85.0,7.944275072743882
90.0,8.314217260288348
95.0,7.985983069884366
100.0,8.155914096074286
105.0,7.902133522167109
110.0,7.601507044991378
115.0,9.494222960847532
120.0,9.777208080809432
125.0,10.3172252922114
130.0,10.568041910473088
135.0,9.569379622037776
140.0,9.762901921452922
145.0,9.025926424062227
150.0,10.009242532447756
155.0,11.184258166974724
160.0,11.91104233071794
165.0,10.412463744903151
170.0,10.366023072755183
175.0,9.697518880537157
180.0,7.108941866513106
185.0,8.467556016980453
190.0,8.660562383589966
195.0,9.798272275882391
200.0,10.590607422653164
205.0,10.37386630376636
210.0,7.471429714932872
215.0,8.843282738051819
220.0,7.306472144467337
225.0,6.876819583277968
230.0,6.62095589106287
235.0,5.8984971493097
240.0,5.246300304695759
245.0,6.096778024143734
250.0,5.986176415282423
255.0,5.946833682771385
260.0,6.607589889155976
265.0,7.292237642840702
270.0,6.262327127984862
275.0,6.476455978423548
280.0,6.5325139813603945
285.0,5.259376795273724
290.0,5.099238732550085
295.0,5.412818475012429
300.0,5.832387299355058
305.0,6.616083439696357
310.0,6.175646205601573
315.0,6.116264612567669
320.0,5.830641211603671
325.0,6.468253822341395
330.0,9.157515831243083
335.0,8.288369663066389
340.0,8.220662178863709
345.0,8.0808449680098
350.0,5.663322214347812
355.0,4.749025211080266
360.0,4.602007921394659
365.0,5.556006805436733
370.0,6.185285934858577
375.0,7.252933885513653
380.0,7.371410306449405
385.0,6.840537544261514
390.0,6.0287001278895485
395.0,5.621342146559417
400.0,6.848386349491524
405.0,8.371580137898496
410.0,9.245993061126349
415.0,9.542381654180936
420.0,8.454548240507668
425.0,8.44322678979549
430.0,8.479887876505897
435.0,7.472391238321114
440.0,6.678623859713748
445.0,6.585678787481843
450.0,6.885127562342123
455.0,6.785346180670857
460.0,8.211811733534322
465.0,7.609127617045271
470.0,7.288005699235549
475.0,8.459232441038335
480.0,9.031888884881216
485.0,8.727061633773308
490.0,9.065512676070052
495.0,8.351899746935157
500.0,8.018147054956298
505.0,6.301816383899519
510.0,6.322129628786573
515.0,7.31454384832021
520.0,7.942760093005312
525.0,8.663465294885139
530.0,10.471536072237102
535.0,10.3246943284167
540.0,7.551122144963238
545.0,6.332723525928039
550.0,5.2815136842225625
555.0,3.3270216068786875
560.0,3.7113694348840656
565.0,5.258842925748283
570.0,5.619777357593709
575.0,6.111043122653378
580.0,7.8598763892324035
585.0,8.037997645301836
590.0,7.547134381195423
595.0,6.726982046118014
600.0,5.486994205662818
605.0,4.685049070479854
610.0,5.614252532519858
615.0,7.300090965892063
620.0,8.435894072097428
625.0,9.070911930131489
630.0,8.394817515375445
635.0,5.501496627183644
640.0,5.062922253156922
645.0,4.697039166985249
650.0,6.40502870759567
655.0,7.189625440595139
660.0,8.192070682219244
665.0,9.651445896318226
670.0,9.483782788852464
675.0,8.741034440518725
680.0,7.999398324963867
685.0,7.852302139263345
690.0,9.042041523491434
695.0,9.82696609184445
700.0,9.231474377018529
705.0,8.719338609326172
710.0,7.387201485561708
715.0,6.264862257606106
720.0,6.913096345232468
725.0,7.449235572978546
730.0,7.8758944044214845
735.0,8.191102162342258
740.0,7.067442766840716
745.0,6.517767855439772
750.0,6.141039551018348
755.0,7.0084648953118345
760.0,7.024690912653039
765.0,6.835004701927077
770.0,6.131962824562345
775.0,5.754402950309463
780.0,7.213221915848516
785.0,6.961261724892979
790.0,8.125843468212055
795.0,8.765724852208933
800.0,8.487742031140773
805.0,7.046449126229248
810.0,6.518956644269013
815.0,4.820065872459259
820.0,6.003539167403739
825.0,5.949104498119092
830.0,5.574037441662869
835.0,6.8420513848403965
840.0,8.953087658508585
845.0,7.360185079196171
850.0,8.584204008914075
855.0,10.36836041633887
860.0,9.458825174108805
865.0,8.350471827455488
870.0,8.156478051261423
875.0,5.421002896296535
880.0,4.033184719297358
885.0,4.159632349052794
890.0,3.953081259581567
895.0,5.67028473869016
900.0,7.905096217017578
905.0,9.217896705749212
910.0,9.577839088752526
915.0,9.074083129756223
920.0,7.86170734808883
925.0,7.423173885962144
930.0,8.914782900308309
935.0,9.622741791174494
940.0,9.583829862361965
945.0,9.32983731074154
950.0,8.764357977038689
955.0,8.321212494761664
960.0,8.897086134047996
965.0,9.23323610396302
970.0,9.676355991154656
975.0,8.892688863960492
980.0,7.908824557088857
985.0,7.597622652168413
990.0,6.397122343097635
995.0,7.073841450825147
1000.0,8.89800661023179
1005.0,9.353692802204847
1010.0,8.579331508789748
1015.0,8.123395053214646
1020.0,7.8526114475632385
1025.0,8.050310244433879
1030.0,7.809168473083094
1035.0,7.763064761023791
1040.0,7.046915310212456
1045.0,6.865952323373875
1050.0,6.773363557375588
