sim_time,sys_ave_wait_time
0.0,0.0
5.0,0.0
10.0,0.0
15.0,0.0
20.0,0.0
25.0,0.0
30.0,0.0
35.0,0.0909090909090909
40.0,0.5454545454545454
45.0,0.0
50.0,0.0
55.0,0.0
60.0,0.0
65.0,0.0
70.0,0.0
75.0,0.0
80.0,0.4444444444444444
85.0,1.2777777777777777
90.0,2.0
95.0,3.210526315789474
100.0,4.090909090909091
105.0,5.391304347826087
110.0,5.208333333333333
115.0,2.375
120.0,2.88
125.0,3.75
130.0,5.0
135.0,7.227272727272727
140.0,9.318181818181818
145.0,7.1
150.0,1.631578947368421
155.0,2.130434782608696
160.0,1.9583333333333333
165.0,2.259259259259259
170.0,3.259259259259259
175.0,4.428571428571429
180.0,6.321428571428571
185.0,6.8
190.0,6.133333333333334
195.0,8.129032258064516
200.0,6.9375
205.0,7.666666666666667
210.0,7.636363636363637
215.0,7.705882352941177
220.0,6.914285714285715
225.0,8.352941176470589
230.0,9.617647058823527
235.0,10.8
240.0,13.393939393939394
245.0,15.818181818181818
250.0,15.0
255.0,13.444444444444445
260.0,14.555555555555555
265.0,14.526315789473683
270.0,11.23076923076923
275.0,10.375
280.0,6.2926829268292686
285.0,5.195121951219512
290.0,2.4761904761904763
295.0,3.186046511627907
300.0,3.829268292682927
305.0,4.974358974358975
310.0,6.222222222222222
315.0,8.305555555555555
320.0,5.351351351351352
325.0,3.975
330.0,3.9743589743589753
335.0,5.076923076923077
340.0,5.560975609756097
345.0,7.024390243902439
350.0,7.690476190476191
355.0,9.952380952380953
360.0,5.9523809523809526
365.0,6.186046511627907
370.0,7.6976744186046515
375.0,8.133333333333333
380.0,6.355555555555555
385.0,5.543478260869565
390.0,6.25
395.0,4.682926829268292
400.0,5.2727272727272725
405.0,6.295454545454546
410.0,8.333333333333334
415.0,9.341463414634148
420.0,4.625
425.0,6.657894736842105
430.0,5.486486486486487
435.0,4.564102564102564
440.0,5.609756097560975
445.0,6.439024390243903
450.0,8.325
455.0,6.948717948717949
460.0,6.789473684210527
465.0,8.076923076923077
470.0,9.46341463414634
475.0,11.75
480.0,13.951219512195122
485.0,10.948717948717947
490.0,10.18918918918919
495.0,7.184210526315789
500.0,8.842105263157896
505.0,10.710526315789474
510.0,11.923076923076923
515.0,13.210526315789474
520.0,14.846153846153848
525.0,13.078947368421051
530.0,13.763157894736842
535.0,15.36111111111111
540.0,9.0
545.0,11.18918918918919
550.0,10.63888888888889
555.0,12.052631578947368
560.0,14.025641025641026
565.0,15.615384615384617
570.0,10.7
575.0,12.175
580.0,8.4
585.0,6.7073170731707314
590.0,7.268292682926829
595.0,7.435897435897436
600.0,8.64102564102564
605.0,8.702127659574469
610.0,7.1020408163265305
615.0,8.130434782608695
620.0,7.369565217391305
625.0,7.978723404255319
630.0,8.622222222222222
635.0,8.534883720930232
640.0,2.8181818181818183
645.0,2.363636363636364
650.0,3.2093023255813957
655.0,3.340909090909091
660.0,0.8695652173913043
665.0,1.391304347826087
670.0,2.477272727272727
675.0,3.466666666666667
680.0,2.511111111111111
685.0,3.282608695652174
690.0,3.659090909090909
695.0,3.674418604651162
700.0,2.9069767441860463
705.0,3.954545454545455
710.0,2.7954545454545454
715.0,1.2926829268292683
720.0,1.7894736842105263
725.0,2.5142857142857142
730.0,3.645161290322581
735.0,4.793103448275862
740.0,8.333333333333334
745.0,9.090909090909092
750.0,10.565217391304348
755.0,13.0
760.0,10.478260869565217
765.0,12.0
770.0,9.346153846153848
775.0,10.961538461538462
780.0,12.77777777777778
785.0,15.807692307692308
790.0,17.51851851851852
795.0,18.0
800.0,7.419354838709677
805.0,6.419354838709677
810.0,4.96875
815.0,4.75
820.0,5.264705882352941
825.0,6.545454545454546
830.0,8.34375
835.0,9.03125
840.0,8.575757575757576
845.0,10.969696969696969
850.0,12.666666666666666
855.0,12.93939393939394
860.0,12.857142857142858
865.0,13.916666666666666
870.0,7.945945945945946
875.0,9.052631578947368
880.0,10.256410256410255
885.0,8.0
890.0,8.975
895.0,4.15
900.0,3.65
905.0,3.95
910.0,5.358974358974359
915.0,6.675
920.0,7.205128205128205
925.0,9.88888888888889
930.0,12.742857142857142
935.0,14.314285714285717
940.0,17.02777777777778
945.0,10.594594594594597
950.0,8.631578947368421
955.0,9.75
960.0,11.475
965.0,11.170731707317072
970.0,9.439024390243905
975.0,9.80952380952381
980.0,10.6
985.0,8.024390243902438
990.0,7.195121951219512
995.0,3.452380952380953
1000.0,2.4
1005.0,2.1951219512195124
1010.0,3.658536585365854
1015.0,4.930232558139535
1020.0,3.644444444444445
1025.0,5.363636363636363
1030.0,5.295454545454546
1035.0,7.326086956521739
1040.0,7.355555555555555
1045.0,6.5227272727272725
1050.0,6.190476190476191
1055.0,7.952380952380952
1060.0,9.333333333333334
1065.0,11.575
1070.0,14.236842105263158
1075.0,13.789473684210526
1080.0,13.973684210526317
1085.0,15.666666666666666
1090.0,17.512820512820515
1095.0,20.07692307692308
1100.0,17.76923076923077
1105.0,15.512820512820513
1110.0,10.875
1115.0,9.325
1120.0,10.88095238095238
1125.0,9.627906976744184
1130.0,9.785714285714286
1135.0,8.155555555555555
1140.0,6.466666666666667
1145.0,7.159090909090909
1150.0,8.133333333333333
1155.0,9.456521739130435
1160.0,11.170212765957446
1165.0,13.04255319148936
1170.0,15.936170212765957
1175.0,14.48
1180.0,15.862745098039216
1185.0,10.352941176470589
