sim_time,sys_ave_wait_time
0.0,0.0
5.0,0.0
10.0,0.0
15.0,0.0
20.0,0.0
25.0,0.0
30.0,0.0
35.0,0.5333333333333333
40.0,0.875
45.0,1.5
50.0,2.125
55.0,2.875
60.0,3.9375
65.0,0.9411764705882352
70.0,1.7058823529411764
75.0,2.235294117647059
80.0,1.9444444444444444
85.0,1.6842105263157894
90.0,2.210526315789474
95.0,2.8
100.0,3.6
105.0,4.0
110.0,4.227272727272728
115.0,5.130434782608695
120.0,5.48
125.0,6.0
130.0,3.4814814814814814
135.0,3.3703703703703702
140.0,2.7777777777777777
145.0,3.576923076923077
150.0,5.074074074074074
155.0,7.111111111111111
160.0,9.28
165.0,9.84
170.0,9.64
175.0,11.52
180.0,13.12
185.0,15.173913043478262
190.0,15.73913043478261
195.0,18.3
200.0,20.73684210526316
205.0,24.11111111111111
210.0,13.88888888888889
215.0,2.333333333333333
220.0,3.333333333333333
225.0,4.7368421052631575
230.0,5.2631578947368425
235.0,5.545454545454546
240.0,6.652173913043479
245.0,5.333333333333333
250.0,7.125
255.0,7.04
260.0,9.32
265.0,12.08
270.0,8.653846153846153
275.0,5.269230769230769
280.0,6.392857142857143
285.0,7.964285714285714
290.0,7.137931034482759
295.0,7.733333333333333
300.0,9.620689655172416
305.0,7.206896551724138
310.0,5.7
315.0,7.2
320.0,9.129032258064516
325.0,10.65625
330.0,12.64516129032258
335.0,8.548387096774194
340.0,4.645161290322581
345.0,2.787878787878788
350.0,3.8181818181818175
355.0,3.0
360.0,3.882352941176471
365.0,5.705882352941177
370.0,8.8125
375.0,12.366666666666667
380.0,9.6
385.0,7.933333333333334
390.0,5.483870967741935
395.0,6.709677419354839
400.0,7.909090909090909
405.0,8.030303030303031
410.0,8.228571428571428
415.0,5.0606060606060606
420.0,3.852941176470588
425.0,4.714285714285714
430.0,5.342105263157895
435.0,5.891891891891892
440.0,6.351351351351352
445.0,6.184210526315789
450.0,7.157894736842105
455.0,8.65
460.0,6.275
465.0,3.631578947368421
470.0,5.4324324324324325
475.0,6.216216216216216
480.0,7.973684210526316
485.0,8.35897435897436
490.0,8.275
495.0,10.425
500.0,9.78048780487805
505.0,11.372093023255816
510.0,9.022222222222222
515.0,7.4222222222222225
520.0,9.5
525.0,8.043478260869565
530.0,8.06
535.0,7.09433962264151
540.0,7.722222222222222
545.0,8.38888888888889
550.0,9.163636363636364
555.0,10.648148148148149
560.0,12.254545454545454
565.0,13.053571428571429
570.0,13.425925925925926
575.0,14.454545454545457
580.0,8.928571428571429
585.0,8.43859649122807
590.0,9.963636363636365
595.0,13.372549019607844
600.0,12.211538461538462
605.0,8.9
610.0,5.721311475409836
615.0,6.741935483870968
620.0,5.387096774193548
625.0,6.295081967213115
630.0,7.916666666666667
635.0,6.573770491803279
640.0,5.476190476190476
645.0,7.158730158730159
650.0,8.96875
655.0,11.442622950819672
660.0,12.327868852459016
665.0,10.887096774193548
670.0,12.419354838709678
675.0,11.475409836065571
680.0,13.542372881355933
685.0,13.35593220338983
690.0,13.47457627118644
695.0,16.62962962962963
700.0,14.153846153846152
705.0,8.222222222222221
710.0,7.872727272727273
715.0,7.754716981132075
720.0,9.12
725.0,10.52
730.0,9.98
735.0,11.24
740.0,13.08
745.0,5.040816326530612
750.0,4.595744680851064
755.0,5.933333333333334
760.0,6.627906976744186
765.0,7.767441860465116
770.0,6.8108108108108105
775.0,6.03125
780.0,7.862068965517241
785.0,8.26923076923077
790.0,10.909090909090908
795.0,12.857142857142858
800.0,15.2
805.0,15.681818181818182
810.0,8.347826086956522
815.0,2.64
820.0,1.28
825.0,1.88
830.0,2.357142857142857
835.0,3.2857142857142856
840.0,2.655172413793104
845.0,4.517241379310345
850.0,6.266666666666667
855.0,7.0
860.0,5.742857142857143
865.0,7.580645161290323
870.0,9.290322580645162
875.0,10.741935483870968
880.0,12.935483870967742
885.0,15.866666666666667
890.0,15.3
895.0,13.9
900.0,15.451612903225806
905.0,17.806451612903224
910.0,15.53125
915.0,15.875
920.0,12.606060606060606
925.0,14.606060606060606
930.0,14.969696969696969
935.0,13.375
940.0,14.666666666666666
945.0,14.323529411764708
950.0,14.970588235294118
955.0,4.0588235294117645
960.0,1.0625
965.0,1.411764705882353
970.0,2.303030303030303
975.0,3.5806451612903225
980.0,3.193548387096774
985.0,3.0
990.0,2.333333333333333
995.0,3.4242424242424243
1000.0,3.727272727272727
1005.0,5.0
1010.0,6.0606060606060606
1015.0,7.5
1020.0,5.676470588235294
1025.0,5.088235294117647
1030.0,7.088235294117647
1035.0,6.6
1040.0,7.333333333333333
1045.0,9.909090909090908
1050.0,8.393939393939394
1055.0,8.515151515151516
1060.0,10.59375
1065.0,12.575757575757576
1070.0,14.470588235294118
1075.0,11.030303030303031
1080.0,6.970588235294118
1085.0,2.942857142857143
1090.0,2.4571428571428573
1095.0,2.323529411764706
1100.0,2.71875
1105.0,2.607142857142857
1110.0,3.533333333333333
1115.0,2.923076923076923
1120.0,2.16
1125.0,2.0
1130.0,2.142857142857143
1135.0,2.827586206896552
1140.0,3.7666666666666666
1145.0,4.774193548387097
1150.0,5.25
1155.0,7.607142857142857
1160.0,9.48148148148148
1165.0,8.233333333333333
1170.0,4.71875
1175.0,4.393939393939394
1180.0,5.878787878787879
1185.0,6.848484848484849
1190.0,8.454545454545455
1195.0,8.805555555555555
1200.0,11.272727272727272
1205.0,5.195121951219512
