episode,SF-GMPPO_trial_1,SF-GMPPO_trial_2,SF-GMPPO_trial_3,SF-GMPPO_trial_4,SF-GMPPO_trial_5,,MAPPO_trial_1,MAPPO_trial_2,MAPPO_trial_3,MAPPO_trial_4,MAPPO_trial_5,,MA2C_trial_1,MA2C_trial_2,MA2C_trial_3,MA2C_trial_4,MA2C_trial_5,,IPPO_trial_1,IPPO_trial_2,IPPO_trial_3,IPPO_trial_4,IPPO_trial_5
31,740.8041404,716.0253679,686.3065325,611.4001785,606.8729658,,598.8098,571.9814535,573.3251835,686.3065325,456.1842855,,567.9215275,350.6220915,598.8098,425.1000244,573.3251835,,422.7165846,345.6777025,388.7019897,478.5077096,550.3865419
32,791.4052221,757.485537,617.7517601,670.9794208,650.4635021,,728.69146,737.1428314,510.6702223,617.7517601,534.871684,,611.9309309,456.036651,728.69146,358.2107892,510.6702223,,372.6987904,257.8084781,401.0520393,316.466173,488.9398161
33,598.2326868,526.9404572,743.9177824,573.6481407,407.8252251,,548.7721087,508.9019577,521.6844619,743.9177824,385.955236,,501.3151269,548.7800253,548.7721087,357.4348618,521.6844619,,535.9717608,416.877237,354.0828218,306.3342057,522.1889794
34,754.8815368,661.619026,602.4519186,640.9118001,722.2077534,,637.8179325,498.4017483,533.77108,602.4519186,468.8300195,,530.322533,479.3353085,637.8179325,319.2342514,533.77108,,367.9761647,311.1509639,443.1721993,492.2102074,585.5184329
35,735.4524944,593.5076194,655.7520245,593.3143947,559.6598291,,639.1160778,694.3298953,373.6055419,655.7520245,513.0824048,,428.4967791,351.3987812,639.1160778,395.3466181,373.6055419,,335.6352886,419.6164646,514.0428721,510.1345324,615.6651297
36,615.7249329,700.2884465,610.3877163,624.2331619,622.4190588,,610.5343615,591.8188078,522.2994561,610.3877163,464.605892,,423.8174893,464.869176,610.5343615,362.1393542,522.2994561,,347.969039,448.0383761,469.8114334,549.7966188,596.4601295
37,627.4965135,680.9681854,670.743876,529.233443,622.5073167,,638.2352719,623.013089,613.6657942,670.743876,463.1978773,,600.300716,458.1995085,638.2352719,367.4444929,613.6657942,,503.7059248,334.4452326,501.1936936,326.9000132,620.6162401
38,738.8571395,727.7684488,710.7837034,493.1400877,549.506636,,674.4480706,717.1582562,454.9528331,710.7837034,438.0868166,,606.3835775,522.8889863,674.4480706,512.3995306,454.9528331,,252.4155991,426.448021,546.8896406,585.2039942,571.4359603
39,787.4425584,641.4832044,694.3565627,663.7871957,681.2172698,,516.198392,478.8552602,559.6295342,694.3565627,595.9489849,,408.8361386,548.9939651,516.198392,330.4771906,559.6295342,,384.911584,287.9908603,274.7233238,270.3611919,401.2380586
40,681.9199552,751.9175499,744.5651933,649.4203331,509.3921529,,550.4496516,546.3543574,527.3522974,744.5651933,453.8811731,,569.43194,362.7607786,550.4496516,470.6287911,527.3522974,,644.1967681,480.866338,502.6245046,501.5343623,594.0339167
41,770.1999237,666.7347189,712.2051818,568.585842,677.3806843,,487.7239447,711.666835,537.8861443,712.2051818,522.7605055,,527.1478117,492.7560047,487.7239447,449.9713155,537.8861443,,457.0838797,406.3563501,460.8226797,579.58051,586.0928404
42,724.5584878,567.3102788,571.1092452,602.7346861,648.4886162,,646.8289302,562.7816867,490.5068624,571.1092452,635.1166201,,435.3246159,540.7850925,646.8289302,264.6350275,490.5068624,,390.6460273,488.1243363,475.8177399,540.3710724,486.5483777
43,824.2367863,781.1060211,806.9164063,770.0460543,683.3627701,,641.0333983,694.0109399,580.1155683,806.9164063,384.6921041,,429.1584241,321.7177084,641.0333983,517.3806167,580.1155683,,261.3081228,237.025826,312.2543603,464.6348154,448.5874534
44,763.0813917,773.5198086,624.691127,734.6378906,658.6646912,,542.5947332,607.9219799,614.9283749,624.691127,485.7111642,,501.6674784,483.1114515,542.5947332,409.6369276,614.9283749,,469.4262616,448.1275896,536.4844491,478.4546692,458.0262992
45,769.0276591,636.3960639,669.7110141,630.6480224,702.3087618,,630.7105482,599.3715844,422.3576938,669.7110141,521.2631833,,450.9960911,576.6709711,630.7105482,334.5240383,422.3576938,,273.2437629,247.9314574,452.0933402,463.9807216,586.1510259
46,710.9199632,787.9473369,821.8173955,591.1263576,719.7696853,,704.8283367,551.976326,546.9255291,821.8173955,538.6360278,,427.3054728,498.8184968,704.8283367,325.8699138,546.9255291,,509.5824113,336.7579223,383.6789972,401.5314565,675.6427099
47,829.2039492,749.1392793,707.9110329,781.0296709,581.7927171,,683.0425956,626.2671519,519.2474313,707.9110329,630.1319886,,663.658628,560.8400962,683.0425956,471.1128674,519.2474313,,456.6605846,448.1434099,515.235741,429.4591311,518.0314404
48,806.3098324,902.234822,779.6193297,674.2663567,693.7997539,,608.3790848,714.4951891,524.3696326,779.6193297,367.1254982,,532.1817977,673.9198691,608.3790848,419.1027517,524.3696326,,478.1093201,464.8532492,513.3045893,464.8554983,450.9483552
49,763.1593847,700.2022613,773.8991096,638.4454348,696.5007637,,614.0018427,652.2115248,553.2406164,773.8991096,432.8471763,,583.1134443,410.9864698,614.0018427,402.5409788,553.2406164,,500.6251908,421.5449178,445.6511011,365.0449793,616.7273849
50,752.025301,743.9883515,799.9032828,784.0787405,714.5401266,,684.8216431,660.788927,527.9553541,799.9032828,632.1556701,,590.1611842,486.5179837,684.8216431,450.4337836,527.9553541,,349.3773252,637.737057,397.4096732,448.2211375,559.8145805
51,791.4633325,755.5021442,691.7701432,706.5716215,601.3772837,,660.4905957,556.0845654,521.8366103,691.7701432,350.0394492,,488.5516536,619.0764109,660.4905957,474.6871447,521.8366103,,348.2831318,192.9610053,427.8665806,459.2469269,444.2434114
52,779.3250824,888.5975325,808.6107179,681.9194162,657.3647012,,708.7469699,636.1663892,610.3164186,808.6107179,436.4886837,,555.648124,533.4138802,708.7469699,382.8973512,610.3164186,,533.2434112,486.3007006,478.9778891,427.8652832,652.2196157
53,759.1544808,778.2111803,757.7799339,730.6791861,694.0133255,,674.5418405,679.6833802,549.1366083,757.7799339,565.1180579,,582.8054297,479.7878987,674.5418405,540.7467178,549.1366083,,371.4649241,346.0134415,377.7554585,438.0479467,409.0207158
54,800.7802731,644.9128861,680.3567595,511.7674922,674.1069282,,690.4751099,565.3544401,575.7679839,680.3567595,472.3963404,,405.0889493,382.9396062,690.4751099,310.2100393,575.7679839,,384.9632695,445.7252705,458.1773715,579.1806765,324.4579361
55,768.7365958,624.1900239,627.8506348,676.8244688,694.3686103,,661.9744667,510.9985497,597.3754817,627.8506348,519.467778,,519.3444078,494.2534015,661.9744667,362.0544639,597.3754817,,362.6382949,435.5871056,659.590824,356.41852,519.877423
56,801.057677,715.8169245,609.3864434,648.7099763,706.7175828,,705.4624988,606.4339912,493.1515693,609.3864434,358.2428868,,524.155355,475.6978604,705.4624988,407.8783439,493.1515693,,401.353386,383.386146,379.0557773,500.6771238,464.4493405
57,755.1271006,783.0665503,745.2454473,667.736834,659.3397141,,667.4902685,633.3421593,598.0825321,745.2454473,443.5014366,,487.7873277,563.0119035,667.4902685,398.2610218,598.0825321,,354.7243872,434.3484325,373.1266431,348.0270349,472.5952803
58,774.518056,608.177225,730.5627766,628.8723319,690.4839143,,792.6004837,561.0778168,542.5589411,730.5627766,511.1327559,,501.9522759,451.0681633,792.6004837,418.6427238,542.5589411,,371.1406907,499.8120586,285.1927794,485.1990032,445.6579488
59,743.848056,603.9008234,562.8532651,601.492673,682.6846998,,622.9311711,550.9546669,553.4160707,562.8532651,406.1831258,,481.8472862,531.6407302,622.9311711,444.6808207,553.4160707,,347.4737884,250.7392516,484.611249,279.7197202,448.3371474
60,812.7191054,711.4227834,637.7373137,665.915555,744.6578273,,561.3930131,589.9307343,452.0568664,637.7373137,585.2924854,,498.4743626,381.0385656,561.3930131,434.9973427,452.0568664,,294.644121,298.082728,496.2274413,357.2230321,475.7893791
61,754.7324377,618.1397262,742.8284931,695.2212217,548.8699513,,565.0679841,571.4199918,521.0000169,742.8284931,514.8498223,,624.731877,489.0353864,565.0679841,464.0966751,521.0000169,,316.7011939,352.6812888,705.5719788,662.9054669,539.7060068
62,729.0442488,793.9065756,655.2818788,649.8769511,648.7120315,,712.8359018,656.300109,413.8258228,655.2818788,521.5896947,,400.2819959,423.7704464,712.8359018,517.0877965,413.8258228,,418.5724509,330.7685948,395.376456,436.6757155,378.1315281
63,777.2762629,651.5678576,723.2963092,696.8298821,711.4645446,,678.0629242,649.8692825,549.4237579,723.2963092,533.4145759,,459.8115368,453.0854644,678.0629242,248.1015319,549.4237579,,337.7969479,416.9731858,384.1027239,453.8866153,421.6726926
64,760.6196826,644.7234959,698.9208353,706.9612217,660.9096231,,643.3912009,709.299105,613.4851222,698.9208353,452.7527804,,437.1300765,449.0171957,643.3912009,330.67935,613.4851222,,363.4166075,305.0975012,465.5971111,525.5399088,386.2917256
65,691.4046387,758.3401833,770.4511341,707.3243711,679.6812354,,663.590444,619.1986835,527.8829317,770.4511341,505.5752423,,629.7357567,553.6567748,663.590444,263.511898,527.8829317,,430.8740573,264.5890169,408.7033594,539.0300001,534.0041099
66,799.5524067,730.4870677,616.2620669,657.5091609,587.4849593,,629.0859516,540.3966584,555.2089192,616.2620669,491.9135303,,519.5447322,424.5304983,629.0859516,419.1462162,555.2089192,,343.1663415,350.0271461,456.6658552,400.6423459,480.7138278
67,802.3048518,826.5660975,769.9620512,686.9605464,684.9360779,,669.0695814,638.9821847,513.3744706,769.9620512,545.9188056,,480.743672,381.1033182,669.0695814,394.1579738,513.3744706,,262.4057819,254.5461004,407.5439257,352.2093827,393.9642211
68,832.9089552,641.1504864,704.3830466,712.0159935,645.6199645,,686.1675078,610.728115,531.313233,704.3830466,388.3154857,,519.9732352,481.3923189,686.1675078,354.9415733,531.313233,,431.9416523,307.3237173,499.7680747,471.0815174,479.9996142
69,848.7290385,781.5426537,634.049698,725.8818691,702.4811332,,718.2298812,611.4011958,675.4891214,634.049698,594.7213486,,500.1584533,518.800093,718.2298812,354.6056203,675.4891214,,428.4248414,235.7145585,445.6572902,418.1741777,459.1757661
70,789.4855641,771.7305415,713.0365071,616.0028007,791.0851929,,631.9929822,573.1800068,584.3875806,713.0365071,594.8723904,,551.7465634,546.2470422,631.9929822,454.2045426,584.3875806,,496.5398094,280.251193,532.026811,395.4444186,576.7697523
71,912.7008481,728.3451742,615.8859127,740.8227712,693.1184383,,633.5213126,659.6005974,683.4964694,615.8859127,569.074918,,657.624071,521.6713336,633.5213126,332.7979427,683.4964694,,338.3457427,177.2567095,388.7314326,424.1147789,385.4940754
72,713.69333,678.4947684,586.7236646,568.2652982,738.5299358,,663.2343334,610.119887,404.7179599,586.7236646,528.3668967,,629.8871286,468.0753833,663.2343334,233.0839674,404.7179599,,299.3977171,305.0196144,406.3609986,423.2613681,375.2774581
73,793.6061486,801.2486614,834.1730113,830.2082993,575.0189114,,749.8542185,638.3972259,630.1471423,834.1730113,294.9165854,,442.4275355,547.982677,749.8542185,515.7812003,630.1471423,,362.5238817,239.6613292,495.3701771,413.0318342,447.8475572
74,814.6443027,631.5962878,760.5109052,592.6717142,743.885072,,701.3736381,555.0464026,412.680202,760.5109052,479.6056027,,551.3017784,487.6916526,701.3736381,359.8041285,412.680202,,290.3360413,314.6797398,478.8551742,428.3930128,495.1092943
75,887.8720206,705.7516145,668.868005,529.7820087,615.0572374,,679.5249694,599.4342682,511.8041621,668.868005,450.8562142,,373.3255967,486.9082468,679.5249694,304.6534972,511.8041621,,480.9362422,548.9328755,467.4718101,411.842567,366.65262
76,944.7537983,704.5087268,747.485104,645.8323933,746.9128146,,715.747513,636.0140548,534.6374118,747.485104,486.0009344,,539.406549,572.9397216,715.747513,407.799812,534.6374118,,330.6967586,266.9025151,356.3161331,366.4240411,503.7919295
77,731.3453163,762.3925484,716.6718587,724.7588401,720.4446835,,663.179232,571.6596209,650.1439008,716.6718587,402.3541681,,569.0607612,368.6218102,663.179232,362.8764202,650.1439008,,426.9231018,270.5135676,604.1562722,442.8312599,536.2353562
78,795.6521895,672.0954302,766.2053703,514.892496,550.7931221,,576.167098,754.0452878,550.5817896,766.2053703,429.7317959,,448.0935627,398.3645719,576.167098,465.133298,550.5817896,,488.4770098,368.4442771,324.1490132,619.2854142,614.7728868
79,733.4433139,801.9349262,743.7038451,677.459271,517.4954142,,794.0927567,586.9848173,558.769587,743.7038451,412.8991918,,559.7643931,538.4785345,794.0927567,346.8667776,558.769587,,428.8560073,328.2729886,446.94631,443.6062734,548.496336
80,924.79221,761.7829475,681.7503098,620.7621455,611.4406153,,576.7534898,538.6196591,402.3269794,681.7503098,497.9974695,,477.549299,504.2357756,576.7534898,384.0700728,402.3269794,,395.1204624,271.734771,387.0432143,451.8451724,500.2542548
81,874.9374487,791.5187223,743.328272,722.3171165,656.0721442,,625.7376105,508.4629992,489.2234057,743.328272,515.7168919,,535.8552025,548.1823507,625.7376105,521.4422604,489.2234057,,402.5369055,413.7456595,437.7239259,477.8118646,511.8180814
82,897.0003167,714.320717,770.2678292,698.4783203,695.1561494,,731.2359642,600.5219523,652.7407254,770.2678292,516.4724928,,571.9169745,476.9881988,731.2359642,344.2005275,652.7407254,,413.787301,237.2403263,346.9396548,434.5667514,537.5946154
83,932.1542839,705.6224265,631.6446376,579.8444997,730.0976817,,677.4848862,663.4504133,468.0835212,631.6446376,659.6603342,,488.2229265,336.485323,677.4848862,418.6622738,468.0835212,,417.6828073,444.6809966,601.8628387,483.544426,568.0018985
84,763.3785821,788.6757165,791.9823684,698.8288448,638.4127031,,724.3097231,478.9613155,522.1735311,791.9823684,516.1913598,,447.5344364,516.3236035,724.3097231,373.2273476,522.1735311,,364.8663348,404.5159453,386.3819051,335.9882106,517.0486097
85,849.9217722,757.1784192,662.5119878,621.5454771,775.6754772,,703.4199517,667.6232786,583.2178316,662.5119878,599.4901656,,426.5213081,560.3689918,703.4199517,368.5293846,583.2178316,,494.4512241,525.4211577,437.2772887,347.7925103,556.3971895
86,738.2890597,745.3146533,782.1299562,582.6768823,571.2569914,,718.8852836,600.6536825,581.2021345,782.1299562,480.0710935,,767.6773234,461.1345915,718.8852836,389.2068037,581.2021345,,341.3096642,399.5688057,541.8811969,369.0091502,484.9617672
87,832.1815178,614.9244019,627.0580713,536.6412454,682.0287295,,769.4207021,548.3389723,623.8265628,627.0580713,491.6265432,,593.8890063,515.5442721,769.4207021,372.9976268,623.8265628,,262.5497706,384.2018175,356.1042056,554.6361957,485.6868494
88,754.5831643,738.5711178,704.7823508,803.5428176,622.592273,,685.0226844,652.6950882,537.7120355,704.7823508,467.8176305,,521.8316177,461.53305,685.0226844,320.7750494,537.7120355,,377.4077479,489.8947787,496.025286,388.6880397,479.7303034
89,787.5392343,772.9906811,766.6878329,649.8076485,822.4237163,,609.0239308,563.846677,591.7351942,766.6878329,480.6366628,,423.3294773,363.7396645,609.0239308,448.8738969,591.7351942,,444.6106691,332.6444244,376.0532543,483.0465318,554.4894008
90,805.5757125,733.6275129,789.8321254,731.6926966,640.3525254,,639.9853411,741.2135979,521.3506632,789.8321254,472.924463,,566.1149859,543.7230581,639.9853411,345.6043767,521.3506632,,625.2644772,300.5599359,443.9793678,379.8887063,523.2813328
91,842.9055301,575.4587255,696.7089194,753.8077076,643.3854782,,634.9289768,556.1563813,513.2632099,696.7089194,405.8234674,,576.600183,516.8737196,634.9289768,375.8828222,513.2632099,,391.1004654,455.8590284,577.4343341,594.0768281,468.1690182
92,786.3225249,701.7822315,823.134117,803.738828,616.8769171,,624.7005953,681.4875644,496.5027081,823.134117,406.55427,,514.4502498,503.6011981,624.7005953,444.3663313,496.5027081,,309.0592172,264.4798306,459.5217627,587.2293391,512.3663852
93,807.3687076,795.3757516,776.5835998,819.9207605,647.7921587,,591.0448909,564.7876211,512.8553879,776.5835998,506.1624879,,469.1320012,481.3596188,591.0448909,460.8734257,512.8553879,,468.710271,246.086513,364.6120879,386.4216032,489.7189973
94,901.6689374,778.7718965,794.1381928,723.9106614,612.3803113,,557.0650939,665.5528461,571.3146542,794.1381928,619.2456358,,463.8018592,491.3974336,557.0650939,406.0642065,571.3146542,,455.8014517,298.0492322,440.6801463,288.399392,533.7808944
95,893.0643826,735.9309504,597.1295069,570.9367131,718.154742,,529.0511819,671.0336924,555.1868858,597.1295069,626.7306518,,538.3596185,519.0329946,529.0511819,395.968438,555.1868858,,336.5565588,221.4469651,496.8930351,534.6719198,591.5508188
96,948.384226,846.7437737,723.5963471,692.7748779,690.6763075,,688.2510548,706.6042696,482.527124,723.5963471,619.250338,,577.1124935,439.4238677,688.2510548,370.3190898,482.527124,,341.1538473,218.5903104,488.5304974,492.1522497,619.7057646
97,878.4900966,618.1686646,672.9756906,679.5879974,668.1198165,,686.8136255,650.2773752,673.6546006,672.9756906,410.5545655,,583.9621146,503.5632102,686.8136255,406.9551018,673.6546006,,578.9184832,406.7753588,471.8900859,358.8971661,564.658776
98,824.9788144,945.4646966,761.4644645,652.6359838,624.79401,,730.9072769,500.2322702,497.9333533,761.4644645,528.7130863,,514.1161933,401.3304396,730.9072769,328.8353772,497.9333533,,397.7495554,209.4469935,364.5020484,533.8521398,462.0406167
99,878.8609461,796.2118098,747.1354105,758.2889661,592.7104813,,518.8159756,571.4149011,522.1698187,747.1354105,482.813806,,443.4725945,482.4308491,518.8159756,296.1612341,522.1698187,,614.5984911,423.2093381,520.1374649,600.9551971,593.0798888
100,862.6897867,906.1279616,727.0969012,658.4655621,596.32963,,640.2124329,633.0532963,624.1036979,727.0969012,491.2147514,,501.3157386,485.1655037,640.2124329,322.1402846,624.1036979,,527.7182201,445.6049171,449.6444674,346.6786807,509.3239418
101,851.7517784,695.0532744,743.8610592,743.4460008,692.0121142,,682.2178876,628.0259336,394.2615941,743.8610592,514.3979375,,479.5593008,478.292718,682.2178876,591.4052768,394.2615941,,656.32129,367.6522272,559.9013736,633.3903909,557.4775054
102,795.579088,708.2490524,817.7240033,704.8784016,609.6169015,,648.4650121,609.7008105,546.4785011,817.7240033,502.8876364,,619.1619271,370.0590844,648.4650121,365.893739,546.4785011,,420.8000617,432.5159742,698.852123,473.2985706,654.5016744
103,796.4937583,833.2464976,686.0709765,619.9904767,853.5389844,,655.329555,584.1948152,663.4452061,686.0709765,485.7961519,,550.2508911,683.5746403,655.329555,394.1320516,663.4452061,,439.1655631,556.3209273,650.9021151,557.8048491,406.8628595
104,768.283106,669.79489,832.5461347,628.4991493,532.1471286,,767.8069889,691.3627141,591.6208659,832.5461347,389.696089,,609.1387946,471.1018968,767.8069889,331.2387415,591.6208659,,493.7868526,370.8914909,527.322564,551.4138627,390.6065374
105,780.1171189,622.2700726,674.1631422,613.6017235,591.1613232,,620.4425975,673.103873,660.0289941,674.1631422,320.6315698,,478.7113944,540.1770344,620.4425975,477.7452996,660.0289941,,468.4243473,456.494174,538.1864947,604.4808788,554.0038444
106,878.3803869,666.8717619,793.6864271,694.4144384,688.5420357,,657.3753066,528.7921479,563.9724019,793.6864271,446.3593847,,426.7539097,546.6941207,657.3753066,273.6631525,563.9724019,,596.1198574,536.4421758,610.5500386,755.6151177,732.6053469
107,838.8965757,730.1110148,773.9789828,882.8785917,660.6926275,,823.2267047,690.672112,561.1534149,773.9789828,474.4926989,,633.9692924,574.544712,823.2267047,402.2768962,561.1534149,,530.3104419,443.1400402,587.693333,570.1074288,603.7075707
108,948.2694983,707.2892101,535.3158059,688.0581597,654.1620075,,572.0613437,645.3813633,508.6055527,535.3158059,570.9954036,,491.3285083,540.8533312,572.0613437,442.3922433,508.6055527,,372.6486781,426.4255013,459.61639,509.9104498,420.9760324
109,857.3645605,796.3131202,740.1408053,719.64661,696.377102,,718.5962342,650.8137799,377.0350002,740.1408053,641.3580057,,479.9617227,361.5050854,718.5962342,350.8138438,377.0350002,,496.8252376,284.466803,305.0224181,311.2385173,433.417621
110,880.770585,829.7942966,763.8555599,714.9632106,556.1250846,,578.1307471,652.2097616,463.0898683,763.8555599,526.6979246,,567.4002533,645.6012002,578.1307471,293.3463867,463.0898683,,465.879759,517.9662278,410.9498414,506.0349666,449.2452808
111,821.4303828,786.7404352,810.9185681,717.4178296,693.6011756,,604.0241726,531.0782791,693.3940844,810.9185681,558.8101987,,518.5394434,518.7523913,604.0241726,473.0209649,693.3940844,,448.6319717,432.0565126,363.162241,629.3430376,521.8309825
