sim_time,sys_total_wait_time
0.0,0.0
5.0,0.0
10.0,0.0
15.0,0.0
20.0,0.0
25.0,0.0
30.0,0.0
35.0,1.0
40.0,6.0
45.0,0.0
50.0,0.0
55.0,0.0
60.0,0.0
65.0,0.0
70.0,0.0
75.0,0.0
80.0,8.0
85.0,23.0
90.0,38.0
95.0,61.0
100.0,90.0
105.0,124.0
110.0,125.0
115.0,57.0
120.0,72.0
125.0,90.0
130.0,120.0
135.0,159.0
140.0,205.0
145.0,142.0
150.0,31.0
155.0,49.0
160.0,47.0
165.0,61.0
170.0,88.0
175.0,124.0
180.0,177.0
185.0,204.0
190.0,184.0
195.0,252.0
200.0,222.0
205.0,253.0
210.0,252.0
215.0,262.0
220.0,242.0
225.0,284.0
230.0,327.0
235.0,378.0
240.0,442.0
245.0,522.0
250.0,510.0
255.0,484.0
260.0,524.0
265.0,552.0
270.0,438.0
275.0,415.0
280.0,258.0
285.0,213.0
290.0,104.0
295.0,137.0
300.0,157.0
305.0,194.0
310.0,224.0
315.0,299.0
320.0,198.0
325.0,159.0
330.0,155.0
335.0,198.0
340.0,228.0
345.0,288.0
350.0,323.0
355.0,418.0
360.0,250.0
365.0,266.0
370.0,331.0
375.0,366.0
380.0,286.0
385.0,255.0
390.0,275.0
395.0,192.0
400.0,232.0
405.0,277.0
410.0,350.0
415.0,383.0
420.0,185.0
425.0,253.0
430.0,203.0
435.0,178.0
440.0,230.0
445.0,264.0
450.0,333.0
455.0,271.0
460.0,258.0
465.0,315.0
470.0,388.0
475.0,470.0
480.0,572.0
485.0,427.0
490.0,377.0
495.0,273.0
500.0,336.0
505.0,407.0
510.0,465.0
515.0,502.0
520.0,579.0
525.0,497.0
530.0,523.0
535.0,553.0
540.0,324.0
545.0,414.0
550.0,383.0
555.0,458.0
560.0,547.0
565.0,609.0
570.0,428.0
575.0,487.0
580.0,336.0
585.0,275.0
590.0,298.0
595.0,290.0
600.0,337.0
605.0,409.0
610.0,348.0
615.0,374.0
620.0,339.0
625.0,375.0
630.0,388.0
635.0,367.0
640.0,124.0
645.0,104.0
650.0,138.0
655.0,147.0
660.0,40.0
665.0,64.0
670.0,109.0
675.0,156.0
680.0,113.0
685.0,151.0
690.0,161.0
695.0,158.0
700.0,125.0
705.0,174.0
710.0,123.0
715.0,53.0
720.0,68.0
725.0,88.0
730.0,113.0
735.0,139.0
740.0,175.0
745.0,200.0
750.0,243.0
755.0,299.0
760.0,241.0
765.0,276.0
770.0,243.0
775.0,285.0
780.0,345.0
785.0,411.0
790.0,473.0
795.0,540.0
800.0,230.0
805.0,199.0
810.0,159.0
815.0,152.0
820.0,179.0
825.0,216.0
830.0,267.0
835.0,289.0
840.0,283.0
845.0,362.0
850.0,418.0
855.0,427.0
860.0,450.0
865.0,501.0
870.0,294.0
875.0,344.0
880.0,400.0
885.0,320.0
890.0,359.0
895.0,166.0
900.0,146.0
905.0,158.0
910.0,209.0
915.0,267.0
920.0,281.0
925.0,356.0
930.0,446.0
935.0,501.0
940.0,613.0
945.0,392.0
950.0,328.0
955.0,390.0
960.0,459.0
965.0,458.0
970.0,387.0
975.0,412.0
980.0,424.0
985.0,329.0
990.0,295.0
995.0,145.0
1000.0,96.0
1005.0,90.0
1010.0,150.0
1015.0,212.0
1020.0,164.0
1025.0,236.0
1030.0,233.0
1035.0,337.0
1040.0,331.0
1045.0,287.0
1050.0,260.0
1055.0,334.0
1060.0,392.0
1065.0,463.0
1070.0,541.0
1075.0,524.0
1080.0,531.0
1085.0,611.0
1090.0,683.0
1095.0,783.0
1100.0,693.0
1105.0,605.0
1110.0,435.0
1115.0,373.0
1120.0,457.0
1125.0,414.0
1130.0,411.0
1135.0,367.0
1140.0,291.0
1145.0,315.0
1150.0,366.0
1155.0,435.0
1160.0,525.0
1165.0,613.0
1170.0,749.0
1175.0,724.0
1180.0,809.0
1185.0,528.0
1190.0,606.0
1195.0,513.0
1200.0,264.0
1205.0,320.0
1210.0,282.0
1215.0,250.0
1220.0,322.0
1225.0,320.0
1230.0,347.0
1235.0,302.0
1240.0,254.0
1245.0,236.0
1250.0,207.0
1255.0,290.0
1260.0,308.0
1265.0,275.0
1270.0,238.0
1275.0,181.0
1280.0,232.0
1285.0,316.0
1290.0,357.0
1295.0,423.0
1300.0,378.0
1305.0,439.0
1310.0,304.0
1315.0,217.0
1320.0,231.0
1325.0,171.0
1330.0,206.0
1335.0,189.0
1340.0,212.0
1345.0,229.0
1350.0,254.0
1355.0,287.0
1360.0,326.0
1365.0,385.0
1370.0,458.0
1375.0,520.0
1380.0,331.0
1385.0,268.0
1390.0,222.0
1395.0,247.0
1400.0,172.0
1405.0,194.0
1410.0,231.0
1415.0,291.0
1420.0,367.0
1425.0,381.0
1430.0,446.0
1435.0,477.0
1440.0,192.0
1445.0,86.0
1450.0,102.0
1455.0,130.0
1460.0,176.0
1465.0,248.0
1470.0,339.0
1475.0,444.0
1480.0,463.0
1485.0,442.0
1490.0,339.0
1495.0,324.0
1500.0,229.0
1505.0,220.0
1510.0,204.0
1515.0,255.0
1520.0,293.0
1525.0,239.0
1530.0,320.0
1535.0,375.0
1540.0,472.0
1545.0,598.0
1550.0,635.0
1555.0,555.0
1560.0,567.0
1565.0,664.0
1570.0,518.0
1575.0,507.0
1580.0,583.0
1585.0,498.0
1590.0,325.0
1595.0,405.0
1600.0,316.0
1605.0,288.0
1610.0,326.0
